Wait_for_Oki_5V_VCC_going_high
Oki_5V_VCC_is_high
ListenerCounter_0=0 Heater[mV]=0 UpperCenter=0 Lower=0 UpperSide=0 Motor=0 Backward=1 Opto=1 Triac1=1 Triac2=1
START ../src/OkiFuserSimulation.cpp
Version 1.0 from Apr 21 2026
Start_simulating_Fuser_Lower_Thermistor=0_mV
Set_opto_interrupter_output_after_startup
Set_4_thermistor_values_according_to_heating_Triac_signals
SimulationCounter_0=0 Heater[mV]=221 UpperCenter=217 Lower=143 UpperSide=221 Motor=0 Backward=1 Opto=0 Triac1=1 Triac2=1
96 218 218 143 222 400 0 600 0 1000
128 222 222 143 218 0 0 600 0 1000
160 217 221 143 221 400 0 600 0 1000
192 221 221 143 221 0 0 600 0 1000
224 222 218 148 222 400 0 600 0 1000
256 222 222 143 222 0 0 600 0 1000
288 222 222 148 222 0 0 600 0 1000
0 221 217 143 221 0 0 600 0 1000
32 221 217 147 221 400 0 600 0 1000
64 221 221 143 217 0 0 600 0 1000
96 222 218 143 222 400 0 600 0 1000
128 222 222 148 222 400 0 600 0 1000
160 222 218 143 218 0 0 600 0 1000
192 221 217 143 221 0 0 600 0 1000
224 222 218 148 218 0 0 600 0 1000
256 222 218 148 218 400 0 600 0 1000
288 222 218 139 218 0 0 600 0 1000
0 222 218 143 218 400 0 600 0 1000
32 222 222 143 222 0 0 600 0 1000
64 222 222 143 222 0 0 600 0 1000
96 222 218 143 218 400 0 600 0 1000
128 222 218 143 218 0 0 600 0 1000
160 222 222 143 218 400 0 600 0 1000
192 218 222 143 222 0 0 600 0 1000
224 218 218 143 218 400 0 600 0 1000
256 222 222 148 222 400 0 600 0 1000
288 222 222 143 218 400 0 600 0 1000
0 218 222 148 222 0 0 600 0 1000
32 222 222 143 218 400 0 600 0 1000
64 222 218 148 218 0 0 600 0 1000
Set_thermistors_to_hot
96 1529 2010 1580 2250 0 0 600 0 1000
128 1529 2010 1580 2250 400 0 600 0 1000
160 1529 2010 1580 2250 400 0 600 0 1000
192 1529 2010 1580 2250 400 0 600 800 1000
224 1529 2010 1580 2250 0 0 600 800 1000
256 1529 2010 1580 2250 400 0 600 800 1000
288 1529 2010 1580 2250 0 0 600 800 1000
0 1536 2018 1587 2259 400 0 600 800 1000
32 1529 2010 1580 2250 400 0 600 800 1000
64 1529 2010 1580 2250 0 0 600 800 1000
96 1529 2010 1580 2250 400 0 600 800 1000
128 1529 2010 1580 2250 0 0 600 800 1000
160 1536 2018 1587 2259 400 0 600 800 1000
192 1529 2010 1580 2250 0 0 600 800 1000
224 1529 2010 1580 2250 0 0 600 800 1000
256 1529 2010 1580 2250 0 0 600 800 1000
288 1529 2010 1580 2250 400 0 600 800 1000
0 1529 2010 1580 2250 0 0 600 800 1000
32 1536 2018 1587 2259 400 0 600 800 1000
64 1536 2018 1587 2259 400 0 600 800 1000
96 1529 2010 1580 2250 0 0 600 800 1000
128 1529 2010 1580 2250 0 0 600 800 1000
